^,a9,Main language spoken at home
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,c10b,Writing things
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,c10c,Making pictures
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,c10d,Practising something I am learning (e.g. maths or a language or music)
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,c10e,Checking out information on the school website
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,c10f,Doing group work with other students
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,c10g,Chatting online at school
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,c10h,Communicating with teachers (e.g. submitting homework or asking a question)
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,c10i,Contributing to a school blog or online discussion
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,d12,How were your social media accounts created?
a,1, I created my account without changing any information about me
b,2, I created my account by changing my age and other information about me
c,3, My parents; brother; sister; or relatives created it for me
d,4, My friends created it for me
e,5, Other person created for me
^,d13,How old were you when you first had your social media account?
a,9, 9-11
a,10, 9-11
a,11, 9-11
b,12, 12-14
b,13, 12-14
b,14, 12-14
c,15, 15-17
c,16, 15-17
c,17, 15-17
^,d7a,Thinking of the profile you use most often; about how many people are you in contact with when using [named profile]?
a,1, Up to 10
b,2, 11-50
c,3, 51-100
d,4, 101-300
e,5, 301-500
f,6, 501-1000
g,7, 1001-1500
h,8, 1501-2000
i,9, 2001-2500
j,10, 2501-3000
k,11, 3001-3500
l,12, 3501-4000
m,13, 4001-4500
n,14, 4501-5000
o,15, More than 5000
x,16, Prefer not to say
^,d7b,More or less; how many are your followers?
a,1, Up to 10
b,2, 11-50
c,3, 51-100
d,4, 101-300
e,5, 301-500
f,6, 501-1000
g,7, 1001-1500
h,8, 1501-2000
i,9, 2001-2500
j,10, 2501-3000
k,11, 3001-3500
l,12, 3501-4000
m,13, 4001-4500
n,14, 4501-5000
o,15, More than 5000
x,16, Prefer not to say
^,d7c,More or less; how many do you follow?
a,1, Up to 10
b,2, 11-50
c,3, 51-100
d,4, 101-300
e,5, 301-500
f,6, 501-1000
g,7, 1001-1500
h,8, 1501-2000
i,9, 2001-2500
j,10, 2501-3000
k,11, 3001-3500
l,12, 3501-4000
m,13, 4001-4500
n,14, 4501-5000
o,15, More than 5000
x,16, Prefer not to say
^,d8,Is you [named profile] set to...?
a,1, Public; so everyone can see it
b,2, Partially private; so that friends of friends or my networks can see me
c,3, Private so only my friends can see
x,4, Prefer not to say
^,d10,How do you usually respond to requests from people to become your ‘friends’ online?
a,1, I usually accept all requests
b,2, I accept only if we have friends in common
b,3, I accept only if I know them
b,4, I accept only if I know them very well
c,5, I ignore them
c,6, I block them or delete the request
x,7, Prefer not to say
^,e1a,I know how to save a photo that I find online
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,e1b,I know how to change my privacy settings (e.g. on a social networking site)
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,e1c,I know how to use a programming language (e.g. HTML; XML; etc.)
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,e1f1,I know how to jailbreak; crack games and apps; change IP address
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,e1f2,I know how to hide my IP address
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,e1f3,I know how to set network settings (LAN; wi-fi; device-connection)
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,e1f4,I know how to hack certain files
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,e1f5,I know how to set the firewall
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,e1i,I find it easy to find a website I have visited before
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,e1g,I find it easy to check if the information I find online is true
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,e1h,I find it easy to choose the best keywords for online searches
a,1, Not true for me
